Source,Target
407436,449176
157336,126889
157336,75612
157336,2048
157336,348
278,101
278,1368
278,107846
278,1883
278,26390
238,515231
238,240
238,9798
238,272
238,769
466411,2323
466411,131631
466411,336843
466411,8966
466411,198663
194662,98566
194662,14
194662,155
194662,272
194662,49026
440298,24420
440298,13
440298,1643
440298,1628
440298,272693
449459,197
449459,627
449459,399402
449459,428399
449459,180863
440472,10098
440472,404245
361292,19542
361292,342473
361292,476
361292,382399
361292,10139
155,272
155,49026
155,209112
155,156022
155,263115
78,335984
78,9323
78,2048
78,185
78,218
13,11224
13,510
13,185
13,627
13,112160
400535,1266
400535,4771
400535,562
400535,1701
400535,26390
520360,949
520360,500
520360,4597
520360,339403
520360,531593
500475,4771
500475,8012
500475,38842
500475,1266
500475,398181
150689,10882
150689,809
150689,2312
150689,5393
150689,11224
474354,336843
474354,8055
474354,1645
474354,390051
474354,13655
216015,12689
216015,8966
216015,466282
216015,9813
216015,43923
446101,4421
446101,342737
446101,10035
446101,336804
446101,20815
272,98566
272,1924
272,1930
272,557
242582,9654
242582,218
242582,64690
242582,449443
242582,396371
244786,769
244786,281957
244786,74997
244786,398181
244786,10781
316029,424694
316029,640
316029,5915
316029,424
316029,769
49026,272
49026,209112
49026,263115
49026,487670
455207,11931
455207,8966
455207,50619
455207,449176
455207,392044
101,156022
101,26390
101,4836
101,77
101,245891
424,289222
424,423
424,16869
424,228150
424,467952
205596,467952
205596,449176
205596,184352
205596,424
205596,10139
472451,449176
472451,26280
472451,26933
472451,376867
472451,184352
150540,812
150540,12092
150540,260513
150540,11360
150540,2300
550,8456
550,59
550,9913
550,101299
399055,9738
399055,150689
399055,440298
399055,381284
399055,36647
516630,1571
516630,336843
516630,341013
516630,474354
516630,245891
119450,157336
119450,76341
119450,63
119450,131631
261470,276
261470,24420
261470,1643
261470,34494
512199,497
512199,311
512199,392044
512199,281957
512199,595
457136,5915
457136,424
457136,769
457136,640
457136,274479
458737,346685
458737,324786
458737,458594
454227,5915
454227,424
454227,769
454227,640
454227,274479
68718,272
68718,862
68718,1374
68718,281957
68718,438145
281338,101299
281338,131631
281338,336843
281338,262504
281338,262500
106646,318846
106646,517331
106646,627
106646,400535
106646,1359
286217,157336
286217,336843
286217,101299
286217,369972
8587,11224
8587,2454
8587,120
8587,630
8587,4347
61791,119450
61791,604
61791,605
61791,500664
61791,335984
1124,675
1124,44214
1124,75656
1124,291805
1124,674
374720,676
374720,369885
374720,424
273481,345887
273481,979
273481,4771
273481,26390
273481,562
147441,9837
147441,487558
147441,381284
147441,414425
147441,11864
168259,281957
168259,345887
168259,156022
168259,395834
168259,10483
438145,281957
438145,11121
438145,345887
438145,311
438145,101
22907,520360
22907,429203
22907,339403
22907,4597
22907,531593
264660,438590
264660,2048
264660,62
264660,644
264660,9738
324786,374720
324786,1369
324786,424
324786,769
240,400
240,515231
240,445954
240,8012
120467,311
120467,340613
120467,97630
120467,916
429203,359412
429203,339403
429203,75656
429203,4597
429203,8270
254128,479475
254128,11123
254128,8656
254128,80278
254128,14161
228150,369885
228150,374720
228150,1771
312221,319888
312221,9443
312221,455
312221,9563
336050,424
336050,637
336050,14574
336050,369885
336050,857
50620,24021
50620,36648
50620,49017
50620,50619
334543,424
334543,769
334543,451915
334543,487558
334543,300671
553882,2502
553882,38050
553882,51876
553882,3083
553882,2503
273248,120
273248,9350
273248,253412
273248,44115
273248,458
487670,141052
487670,1924
487670,49521
487670,1452
487670,8536
23168,24418
23168,680
23168,1422
23168,627
23168,8966
399404,424
399404,637
399404,324786
399404,228150
399404,746
455980,460019
455980,114150
455980,260514
455980,390043
455980,4922
18239,24021
18239,36648
18239,50619
18239,49017
18239,50620
398818,449176
398818,26371
398818,424694
398818,84892
398818,376867
152601,604
152601,605
152601,335984
152601,500664
152601,157336
539,398181
539,120467
539,2832
539,11931
539,3933
24021,50619
24021,36648
24021,49017
329865,126889
329865,157336
329865,348
329865,384521
329865,49849
314365,11931
314365,446354
314365,396371
314365,205587
11324,392044
11324,336843
11324,75780
11324,181283
11324,101299
417261,157336
417261,194662
417261,395990
417261,396371
417261,446807
389,314365
389,396371
389,687
389,390043
389,595
597,49530
597,440298
597,568
597,7191
597,24420
346685,8834
346685,77
49017,36647
49017,228150
49017,400155
49017,36648
49017,282035
49047,157336
49047,2067
49047,62
49047,395992
49047,286217
339103,261023
339103,156022
339103,396371
339103,9679
4951,449176
4951,11247
4951,133805
4951,57214
4951,437557
392044,4176
392044,75780
392044,281957
392044,7007
857,16869
857,228150
857,637
857,676
857,369885
154400,324542
154400,769
154400,156022
154400,241554
154400,949
372058,14069
372058,81
372058,8392
372058,8839
372058,270303
419743,449176
419743,184352
419743,126331
419743,26280
419743,383526
401905,198663
401905,157350
401905,101299
401905,2048
401905,131631
302946,629
302946,395990
302946,400579
302946,59967
302946,136795
561,272
561,155
561,141052
561,209112
561,49521
468362,564
468362,85
468362,205584
468362,10661
468362,691
637,424
637,14574
637,425
637,238
637,745
616,11878
616,324786
616,58857
616,24
185,281957
185,769
185,4836
185,281
185,550
82693,272693
82693,14313
82693,510
82693,13
82693,8966
346,616
346,11953
346,11878
346,1865
346,24
141,1359
141,122906
141,674
141,112160
141,63
500919,15069
500919,984
500919,807
500919,75780
500919,146198
745,601
745,675
745,1374
745,770
491622,324786
491622,374720
491622,1369
491622,137113
491622,228150
359940,281957
359940,345887
359940,458737
359940,395834
359940,1266
396371,413362
396371,754
396371,346685
472715,274855
472715,14161
472715,74
472715,109414
472734,8966
472734,484247
472734,296096
472734,465136
472734,449176
470229,26390
470229,133805
470229,3597
470229,357096
470229,238636
505192,20352
505192,150689
505192,2252
505192,278927
505192,399055
346672,12437
346672,24
346672,18239
346672,24021
346672,8966
553622,11631
553622,9584
553622,70512
553622,199647
553622,26515
1495,38543
1495,26175
1495,10786
1495,39382
1495,272099
449176,376867
449176,511785
449176,26280
449176,26371
460071,396371
460071,332283
460071,640
460071,5915
460071,424
103,156022
103,1538
103,949
103,2330
103,8834
171274,8966
171274,769
171274,169917
171274,465136
171274,449176
769,8012
769,10651
769,169917
769,281957
769,339103
510355,451925
510355,425972
510355,176
510355,438590
510355,425505
489931,75656
489931,269795
489931,37797
489931,209247
489931,5143
1585,8871
1585,9479
1585,927
1585,11881
1585,9279
568,157336
568,286217
568,369972
568,95
568,296524
517331,318846
517331,16995
517331,3083
517331,5125
451925,24420
451925,13
451925,817
451925,1643
395841,357096
395841,75780
395841,4771
395841,807
395841,395990
17979,13188
17979,13377
17979,1585
17979,8871
17979,9479
391713,273153
391713,398818
391713,426613
391713,9813
391713,84892
446354,274479
446354,318846
446354,334543
446354,389015
446354,424
429351,281957
429351,193756
429351,8966
429351,465136
429351,449176
44214,8834
44214,82693
44214,244786
44214,38810
8456,391757
8456,345887
8456,11713
8456,133805
8456,40805
379149,238636
379149,49021
379149,345887
379149,55846
459910,627
459910,2034
459910,1900
459910,253
459910,438808
169917,4771
169917,398181
169917,8012
169917,281957
481117,369192
481117,769
481117,396371
481117,339103
11036,1366
11036,1246
11036,1494
11036,7555
11036,688
64690,341006
64690,769
64690,398175
64690,294963
64690,281957
476292,378064
476292,81
476292,297762
476292,273153
476292,52371
4922,458594
4922,510
4922,956
4922,458737
4922,416477
278927,407436
278927,9502
278927,9325
278927,116149
389015,396371
389015,5915
389015,424
389015,769
389015,640
290595,809
290595,767
290595,808
290595,385448
412862,371608
412862,10781
412862,39874
412862,948
412862,1359
313369,705
313369,525
313369,507076
313369,10947
313369,6477
340674,340613
340674,34584
340674,340666
340674,4347
340674,824
274857,19957
274857,6520
274857,18937
274857,762
274857,11527
311,769
311,11423
311,261023
311,156022
311,281957
6977,4836
6977,101
6977,189
6977,156022
6977,59967
98,967
98,652
98,49519
98,49494
98,32528
4982,272
4982,769
4982,138832
4982,4836
4982,324542
486947,11001
486947,6933
486947,1256
486947,21240
486947,406162
400579,433
400579,2758
400579,11862
400579,425
400579,111
508763,281957
508763,392044
508763,395990
508763,75780
508763,4771
296096,8966
296096,466282
296096,43923
296096,82693
296096,50619
83542,281
83542,604
83542,605
83542,76341
83542,500664
406997,1265
406997,442062
406997,73
406997,948
406997,346364
483184,357096
483184,281957
483184,345887
483184,458594
483184,311
341735,1278
341735,1628
341735,2252
341735,888
341735,862
652,10693
652,18823
652,57165
652,11527
652,188207
315837,201088
315837,1571
315837,500664
315837,603
315837,605
464502,74997
464502,281957
464502,458594
464502,10781
464502,357096
454652,451915
454652,340613
454652,487558
454652,363676
454652,266856
77338,13
77338,8839
77338,888
77338,862
77338,23168
112160,14
112160,449176
112160,17130
112160,53932
112160,86331
770,2024
770,9902
770,142
770,470
339380,273153
339380,5915
339380,424694
339380,9813
339380,467952
318846,5915
318846,424
318846,769
318846,640
670,101
670,754
670,281957
670,345887
670,359940
462919,64255
462919,341735
462919,429417
462919,13885
462919,454
65754,281957
65754,392044
65754,210577
65754,395834
65754,75780
28,314095
28,600
28,8355
28,121
28,10590
2502,562
2502,2503
2502,156022
2502,1571
384680,396373
384680,395834
384680,581
384680,281957
384680,8584
197,602
197,783
197,17295
197,10655
197,237
64682,346685
64682,27066
64682,4148
64682,1259
64682,281957
503346,9555
503346,8810
503346,602
503346,137113
503346,26405
395991,2924
395991,228150
395991,49017
395991,122
395991,707
122906,13
122906,627
122906,50546
122906,451925
429417,416234
429417,620
429417,452507
429417,110415
429417,201085
433498,334543
433498,424
433498,769
433498,451915
433498,487558
41592,370663
41592,258480
41592,273153
41592,52371
41592,426613
72190,336843
72190,294254
72190,157350
72190,101299
72190,131631
58595,290595
58595,408
58595,385448
58595,10882
58595,411
162,11069
162,9362
162,451
162,10829
162,10778
2567,363676
2567,640
2567,5915
2567,424
2567,769
395990,4771
395990,64689
395990,562
395990,75780
395992,2067
395992,157336
395992,126889
395992,286217
395992,348
70,1374
70,1371
70,1375
70,1367
70,8456
465136,321612
465136,401905
465136,336843
465136,476926
465136,428078
295011,72190
295011,336843
295011,170
295011,1562
295011,19908
2024,8456
2024,272
2024,11713
2024,55292
68724,605
68724,604
68724,2048
68724,157336
68724,500664
1422,37645
1422,1266
1422,4771
1422,26390
1422,96
296098,27576
296098,954
296098,1374
296098,1247
296098,691
419831,1927
419831,141052
419831,76338
419831,155
419831,299536
274479,360814
274479,376290
274479,424
274479,297762
274479,15472
418472,340613
418472,340666
418472,120467
418472,340674
418472,454652
365942,157336
365942,449176
365942,861
365942,119450
365942,157350
5915,424
5915,769
5915,640
5915,274479
5915,281957
258216,22705
258216,249397
258216,112160
258216,122081
258216,979
640,324786
640,424694
640,396371
640,451915
640,472451
401847,370663
401847,258480
401847,10818
401847,273153
401847,437557
9693,604
9693,605
9693,76341
9693,101299
9693,20504
406990,75780
406990,949
406990,4771
406990,26390
406990,782
86834,14161
86834,472715
86834,615
86834,274855
86834,58433
489927,1427
489927,400928
489927,11393
489927,334
489927,10376
2501,2502
2501,2503
2501,324668
2501,346685
2501,1572
489929,812
489929,49013
489929,50620
489929,372058
489929,254128
385448,767
385448,674
385448,675
385448,259316
385448,338952
17431,157336
17431,500664
17431,335984
17431,604
17431,605
300671,424
300671,49021
300671,324786
300671,467952
300671,402298
333371,1571
333371,562
333371,345887
333371,146233
333371,1103
1417,10882
1417,11224
1417,426543
1417,812
1417,809
37799,65754
37799,201088
37799,446807
37799,15472
37799,24253
1359,55846
1359,185
1359,627
1359,398173
1164,2024
1164,95
1164,142
1164,503
1164,334
122081,57214
122081,17899
122081,979
122081,9777
122081,24469
201088,2502
201088,5503
201088,59961
201088,213
201088,27576
491584,8643
491584,263471
491584,123997
491584,407874
491584,268373
395834,359412
395834,345887
395834,75780
395834,8090
146233,345887
146233,37645
146233,4771
146233,11423
146233,984
414191,15021
414191,519247
414191,565
414191,10065
414191,428449
12201,281957
12201,11423
12201,15069
12201,984
12201,357096
75780,4771
75780,357096
75780,11423
75780,359412
75780,7007
381283,769
381283,500919
381283,238636
381283,426814
381283,424121
34584,10140
34584,674
34584,411
34584,278927
34584,12445
220882,198663
220882,157350
220882,78
220882,336843
220882,131631
507076,449176
507076,184352
507076,382475
507076,160165
507076,26280
413362,18587
413362,445954
413362,1266
413362,4771
413362,26390
76494,281957
76494,334543
76494,8966
76494,50619
76494,400579
437586,449176
437586,85350
437586,11887
437586,8363
437586,376660
581,281957
581,34584
581,630
581,12155
581,2454
341174,84892
341174,101299
341174,336843
341174,769
399170,520360
399170,339403
399170,949
399170,336004
399170,9654
45317,481117
45317,1578
45317,70
45317,1374
45317,389015
283366,1452
283366,8536
283366,9531
283366,141052
283366,9738
241554,10651
241554,281957
241554,345887
241554,979
241554,4771
6479,604
6479,605
6479,534
6479,603
6479,76341
446791,345887
446791,769
446791,424121
446791,74997
446791,562
45269,858
45269,1165
45269,9526
45269,38050
45269,801
295964,2062
295964,627
295964,399402
295964,6283
295964,3638
254320,119450
254320,406761
254320,22970
254320,101299
254320,381288
13223,311
13223,245891
13223,345887
13223,1103
13223,277216
274870,157336
274870,126889
274870,348
274870,8077
274870,286217
76203,8619
76203,339408
76203,19067
76203,407806
76203,38027
8088,1259
8088,1024
8088,1643
8088,27066
381284,369972
381284,487558
381284,5915
381284,424
381284,453
11713,345887
11713,357096
11713,281957
11713,979
11713,26390
22705,55580
22705,27066
22705,14174
22705,50124
22705,341174
534075,324786
534075,424694
534075,451915
534075,472451
534075,487558
168672,769
168672,1422
168672,754
168672,2252
168672,156022
11130,50546
11130,4974
11130,400617
11130,311291
11130,11224
339692,4771
339692,345887
339692,2749
339692,979
339692,868
16995,1949
16995,8834
16995,11423
16995,101
16995,7007
489925,376660
489925,12689
489925,304410
489925,411741
489925,33217
500852,238
500852,64912
500852,52979
500852,24
500852,240
38,1903
38,261470
38,1643
38,8088
38,77
561362,9813
561362,281957
561362,273153
561362,52371
561362,297762
124905,373571
124905,315011
124905,15766
124905,1682
124905,7191
385360,281957
385360,562
385360,49021
385360,238636
385360,442249
8619,250734
8619,450322
8619,11365
8619,30431
8619,11583
385332,101
385332,281957
385332,345887
385332,11713
385332,11423
1246,1366
1246,1375
1246,1367
1246,1374
1246,1371
14574,423
14574,424
14574,289
14574,369885
14574,228150
9552,293670
9552,561
9552,458737
9552,620
9552,1250
4944,50546
4944,1586
4944,2666
4944,332872
4944,11588
2108,272693
2108,2105
2108,449176
2108,10625
2108,37735
484297,8272
484297,8981
484297,49519
484297,101
484297,281957
307081,70
307081,312221
307081,396371
307081,455
307081,9563
372343,392044
372343,281957
372343,381034
372343,4771
372343,189
400617,9339
400617,4599
400617,6637
400617,1367
400617,399057
